word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
stroke,3.44865995376073,0.40083105639024913,0.11619732629952186
tavern,3.44865995376073,0.40083105639024913,0.11619732629952186
valued,3.44865995376073,0.40083105639024913,0.11619732629952186
national,3.44865995376073,0.40083105639024913,0.11619732629952186
flowing,3.44865995376073,0.40083105639024913,0.11619732629952186
withdraw,3.44865995376073,0.40083105639024913,0.11619732629952186
behalf,3.44865995376073,0.40083105639024913,0.11619732629952186
steady,3.44865995376073,0.40083105639024913,0.11619732629952186
ecstatic,3.44865995376073,0.40083105639024913,0.11619732629952186
witty,3.44865995376073,0.40083105639024913,0.11619732629952186
restless,3.44865995376073,0.40083105639024913,0.11619732629952186
relate,3.44865995376073,0.40083105639024913,0.11619732629952186
till,3.434843345135672,5.8120503176586125,4.531695725681352
dark,3.430057204253103,3.607479507512242,2.6144398417392414
conclusion,3.4204214436459353,0.9352724649105812,0.4647893051980874
walls,3.4204214436459353,0.9352724649105812,0.4647893051980874
neighbor,3.4169802248646164,0.7682595247479774,0.3485919788985655
wrapped,3.4169802248646164,0.7682595247479774,0.3485919788985655
sobbing,3.4169802248646164,0.7682595247479774,0.3485919788985655
infinite,3.4169802248646164,0.7682595247479774,0.3485919788985655
gradually,3.4169802248646164,0.7682595247479774,0.3485919788985655
elderly,3.4169802248646164,0.7682595247479774,0.3485919788985655
sat,3.3942936197592672,11.523892871219662,9.702476746010074
fine,3.389279000764976,4.075115739967533,3.021130483787568
seems,3.352446495015343,2.8392199827642646,1.9753545470918714
worn,3.3028326494101368,1.4697138734309132,0.8714799472464139
few,3.2628970724204684,5.711842553561049,4.473597062531591
exhausted,3.2556231648744802,1.0020776409756227,0.5228879683478483
advantage,3.2556231648744802,1.0020776409756227,0.5228879683478483
dangerous,3.2440976575519134,1.235895757203268,0.697183957797131
dance,3.2440976575519134,1.235895757203268,0.697183957797131
seemed,3.237517356786576,19.473708822959605,17.139105629179472
considered,3.2353630231007138,3.440466567349638,2.4982425154397196
recognize,3.227519550898709,1.5365190494959549,0.9295786103961748
firm,3.227519550898709,1.5365190494959549,0.9295786103961748
eternal,3.2254711439072334,0.6680517606504152,0.2904933157488046
churches,3.2254711439072334,0.6680517606504152,0.2904933157488046
numbers,3.2254711439072334,0.6680517606504152,0.2904933157488046
dragging,3.2254711439072334,0.6680517606504152,0.2904933157488046
bodies,3.2254711439072334,0.6680517606504152,0.2904933157488046
harmful,3.2254711439072334,0.6680517606504152,0.2904933157488046
goal,3.2254711439072334,0.6680517606504152,0.2904933157488046
win,3.2254711439072334,0.6680517606504152,0.2904933157488046
nowhere,3.2254711439072334,0.6680517606504152,0.2904933157488046
related,3.1980048470130544,0.835064700813019,0.40669064204832645
